File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\config\BooleanConfigParam.java,32,13,9,1,8,0,11,38,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\config\ConfigParam.java,88,47,35,7,32,0,9,47,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\config\EnvironmentParams.java,282,118,110,3,164,0,0,0,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\config\IntConfigParam.java,66,47,32,9,16,0,3,11,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\config\LongConfigParam.java,66,47,32,9,16,0,3,11,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\config\ShortConfigParam.java,66,47,32,9,16,0,3,11,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\dbi\CursorImpl.java,3127,2091,1530,260,729,0,307,2019,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\dbi\DatabaseId.java,150,77,54,17,32,0,41,94,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\dbi\DatabaseImpl.java,897,545,422,68,228,0,124,543,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\dbi\DbConfigException.java,25,14,10,0,8,0,3,6,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\dbi\DbConfigManager.java,121,65,48,9,20,0,36,172,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\dbi\DbEnvPool.java,134,84,61,11,31,0,19,62,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\dbi\DbEnvState.java,70,35,30,6,27,0,8,34,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\dbi\DbTree.java,970,659,496,88,187,0,124,537,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\dbi\EnvConfigObserver.java,17,6,5,0,4,0,7,26,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\dbi\EnvironmentImpl.java,1417,840,612,88,388,0,189,761,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\dbi\GetMode.java,50,22,18,2,24,0,4,17,0,0
