Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests4\com\sleepycat\je\log\entry,16,2507,1814,1390,0,346,0,347,1002,72,344
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests4\com\sleepycat\je\recovery,13,1241,895,639,0,220,0,126,467,60,296
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests4\com\sleepycat\je\tree,64,7727,5551,4063,0,1196,0,980,3282,290,1398
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests4\com\sleepycat\je\txn,48,4237,3008,2175,0,743,0,486,1785,217,1043
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests4\com\sleepycat\je\util,16,2895,1568,1189,0,312,0,1015,1590,73,355
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests4\com\sleepycat\je\utilint,33,2328,1599,1154,0,423,0,306,1007,149,715
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests4\com\sleepycat\util,14,2296,1648,1201,0,334,0,314,743,63,301
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests5,507,50142,34813,25444,0,8167,0,7162,21475,2301,11115
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests5\com,507,50142,34813,25444,0,8167,0,7162,21475,2301,11115
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests5\com\sleepycat,507,50142,34813,25444,0,8167,0,7162,21475,2301,11115
