File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\bind\tuple\TupleOutput_ESTest_scaffolding1.java,55,40,29,0,10,0,5,27,5,27
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\bind\tuple\TupleTupleBinding_ESTest1.java,35,21,16,0,7,0,7,22,4,16
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\bind\tuple\TupleTupleBinding_ESTest_scaffolding1.java,55,40,29,0,10,0,5,27,5,27
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\bind\tuple\TupleTupleKeyCreator_ESTest1.java,168,110,84,0,22,0,36,88,4,16
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\bind\tuple\TupleTupleKeyCreator_ESTest_scaffolding1.java,55,40,29,0,10,0,5,27,5,27
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\bind\tuple\TupleTupleMarshalledBinding_ESTest1.java,50,31,23,0,9,0,10,29,4,16
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\bind\tuple\TupleTupleMarshalledBinding_ESTest_scaffolding1.java,55,40,29,0,10,0,5,27,5,27
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\bind\tuple\TupleTupleMarshalledKeyCreator_ESTest1.java,60,38,30,0,10,0,12,34,4,16
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\bind\tuple\TupleTupleMarshalledKeyCreator_ESTest_scaffolding1.java,55,40,29,0,10,0,5,27,5,27
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\compat\DbCompat_ESTest1.java,760,527,371,0,101,0,132,308,4,16
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\compat\DbCompat_ESTest_scaffolding1.java,55,40,29,0,10,0,5,27,5,27
